,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
82,Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Future Biosolutions Pty Ltd,Mountain Creek,4557.0,,,New tools for viral monitoring,Mountain Creek,4557.0,,27/07/2017,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
83,Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Feline Pty Ltd,Bonogin,4213.0,,,Advanced Materials for Light-Weight Electric Motors,Bonogin,4213.0,,27/07/2017,Gold Coast (C),Gold Coast,Mudgeeraba,100000.0
84,Fraunhofer Institute Partnership,Fraunhofer Institute Partnership,Griffith University,Southport,4215.0,,,Operation of the Fraunhofer iCAIR Centre at Griffith’s Gold Coast campus,Southport,4215.0,,1/06/2018,Gold Coast (C),Gold Coast,Bonney,700000.0
85,Global CEO Challenge,Round 1,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,,Global CEO Scale-Up Program,Kelvin Grove,4059.0,,1/10/2019,Brisbane (C),Brisbane and Redlands,McConnel,75000.0
86,Growing Queensland's Companies,,University of South Australia (Australian Centre for Business Growth),"Adelaide, SA",,,,Growing Queensland's Companies,,,"Multiple areas in Queensland: Brisbane, Sunshine Coast, Townsville, Gold Coast",28/02/2017,NonQueensland,Statewide,NonQueensland,2202334.0
87,Hot DesQ,Round 1,Citizen Wolf Pty Ltd,New South Wales,,,"Host: Creative Enterprise Australia, QUT",Citizen Wolf,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,50000.0
88,Hot DesQ,Round 1,LawAdvisor Pty Ltd,Victoria,,,Host: River City Labs,LawAdvisor connects people and businesses with expert and easy to understand legal advice.,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,45000.0
89,Hot DesQ,Round 1,Krak Skateboarding Pty Ltd,Germany,,,Host: Little Tokyo Two,Krak,Brisbane City,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
90,Hot DesQ,Round 1,Ata Technologies Au Pty Ltd,United States,,,Host: QUT Bluebox,Answer.ky,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
91,Hot DesQ,Round 1,Koala Safe Pty Ltd,New South Wales,,,Host: theSPACE,KoalaSafe,Cairns,4870.0,,10/10/2016,NonQueensland,Far North Queensland,NonQueensland,100000.0
92,Hot DesQ,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
93,Hot DesQ,Round 1,Openrevs Pty Ltd,New South Wales,,,Host: Collaborate,OpenRevs,Spring Hill,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
94,Hot DesQ,Round 1,Pixc Co Pty Limited,United States,,,Host: River City Labs,Pixc,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
95,Hot DesQ,Round 1,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,10000.0
96,Hot DesQ,Round 1,Much Better Adventures Pty Ltd,United Kingdom,,,Host: River City Labs,Much Better Adventures,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
97,Hot DesQ,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,9091.0
98,Hot DesQ,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
99,Hot DesQ,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
100,Hot DesQ,Round 1,Collaborate Co-working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
101,Hot DesQ,Round 1,Eternime Pty Ltd,United States,,,Host: QUT Creative Enterprise Australia,Eternime,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
102,Hot DesQ,Round 1,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
103,Hot DesQ,Round 1,Covercard Pty Ltd,Victoria,,,Host: River City Labs,CoverCard,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
104,Hot DesQ,Round 1,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
105,Hot DesQ,Round 1,Criskco Au Pty Ltd,Israel,,,Host: Collaborate,CRiskCo,Spring Hill,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
106,Hot DesQ,Round 1,Deepblu (Australia) Pty Ltd,Taiwan,,,Host: theSPACE,Deepblu Inc.,Cairns,4870.0,,10/10/2016,NonQueensland,Far North Queensland,NonQueensland,100000.0
107,Hot DesQ,Round 1,Eikonic R & D Pty Ltd,Victoria,,,Host: Collaborate,Eikonic R&D Pty Ltd,Spring Hill,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
108,Hot DesQ,Round 1,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
109,Hot DesQ,Round 1,Innovation Centre Sunshine Coast,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
110,Hot DesQ,Round 1,Collaborate Co-working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
111,Hot DesQ,Round 1,Kallfly Pty Ltd,Phillipines,,,Host: Little Tokyo Two,KallFly,Brisbane City,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
112,Hot DesQ,Round 1,Iridium Dynamics Pty Ltd,New South Wales,,,Host: QUT Bluebox,Iridium Dynamics,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
113,Hot DesQ,Round 1,Flowpay Australia Pty Ltd,United States,,,Host: River City Labs,FlowPay,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,75000.0
114,Hot DesQ,Round 1,Contact2sale Pty Ltd,Brazil,,,Host: River City Labs,Contact2Sale,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
115,Hot DesQ,Round 1,Collaborate Co-working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
116,Hot DesQ,Round 1,Foogi Australia Pty Limited,New South Wales,,,Host: Little Tokyo Two,Foogi,Brisbane City,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,50000.0
117,Hot DesQ,Round 1,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
118,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,10000.0
119,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
120,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
121,Hot DesQ,Round 2,RefLIVE Pty Ltd,Victoria,,,Host: River City Labs,RefLIVE,Fortitude Valley,4006.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
122,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
123,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
124,Hot DesQ,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
125,Hot DesQ,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Buderim,6000.0
126,Hot DesQ,Round 2,The Generator (Bundaberg),Bundaberg,4670.0,,,Host,Bundaberg,4670.0,,1/06/2017,Bundaberg (R),Wide Bay,Bundaberg,8000.0
127,Hot DesQ,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
128,Hot DesQ,Round 2,Sensor Bridge Technologies Pty Ltd (Business name - LESS Industries),Argentina,,,Host: The Generator (Bundaberg),LESS Industries,Bundaberg,4670.0,,27/07/2017,NonQueensland,Wide Bay,NonQueensland,100000.0
129,Hot DesQ,Round 2,Speedlancer Pty Ltd,Victoria,,,Host: Little Tokyo Two,Speedlancer,Spring Hill,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
130,Hot DesQ,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
131,Hot DesQ,Round 2,Medicsensors Aus Pty Ltd (MedicSen),Spain,,,Host: Innovation Centre Sunshine Coast,MedicSen,Sippy Downs,4556.0,,27/07/2017,NonQueensland,Sunshine Coast,NonQueensland,100000.0
132,Hot DesQ,Round 2,Micropowerlabs (Aus) Pty Ltd,Singapore,,,Host: Fire Station 101,Micropowerlabs,Ipswich,4305.0,,27/07/2017,NonQueensland,Ipswich,NonQueensland,55000.0
133,Hot DesQ,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
134,Hot DesQ,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
135,Hot DesQ,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,3000.0
136,Hot DesQ,Round 2,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
137,Hot DesQ,Round 2,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,8000.0
138,Hot DesQ,Round 2,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
139,Hot DesQ,Round 2,Pinch Labs,United States,,,Host: River City Labs,Pinch Labs,Fortitude Valley,4006.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
140,Hot DesQ,Round 2,PledgeMe Pty Ltd,New Zealand,,,Host: Little Tokyo Two,PledgeMe,Brisbane City,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
141,Hot DesQ,Round 2,Pycno Industries Pty Ltd,China,,,Host: QUT Bluebox,Pycno,Kelvin Grove,4059.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
142,Hot DesQ,Round 3,Parasym,United Kingdom,,,Host: Fishburners,Parasym,Brisbane City,4000.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,100000.0
143,Hot DesQ,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,8000.0
144,Hot DesQ,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,8000.0
145,Hot DesQ,Round 3,HotelFlex Pty Ltd,United Kingdom,,,Host: GC Hub,HotelFlex,Robina,4226.0,,8/01/2019,NonQueensland,Gold Coast,NonQueensland,100000.0
146,Hot DesQ,Round 3,K R Consultancy Services Pty Ltd,Australian Capital Territory,,,Host: theSPACE,QuestaGame,Manunda,4870.0,,8/01/2019,NonQueensland,Far North Queensland,NonQueensland,75000.0
147,Hot DesQ,Round 3,Kuaifit Pty Ltd,China,,,Host: Fishburners,KUAIFIT,Brisbane City,4000.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,75000.0
148,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,8000.0
149,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,6000.0
150,Hot DesQ,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,8/01/2019,Cairns (R),Far North Queensland,Cairns,6000.0
151,Hot DesQ,Round 3,Smart Reef Pty Ltd,New South Wales,,,Host: theSPACE,Smart Reef,Cairns,4870.0,,8/01/2019,NonQueensland,Far North Queensland,NonQueensland,50000.0
152,Hot DesQ,Round 3,Sunbirds Aero Pty Ltd,France,,,Host: River City Labs,Sunbirds,Fortitude Valley,4006.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,100000.0
153,Hot DesQ,Round 3,TakeMeTour,Thailand,,QUT CEA,Host: QUT CEA,TakeMeTour,Kelvin Grove,4059.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,100000.0
154,Hot DesQ,Round 2,Ziggu Pty Ltd,Luxembourg,,,Host: Little Tokyo Two,Ziggu,Spring Hill,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
155,Hot DesQ,Round 3,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,10000.0
156,Hot DesQ,Round 3,Curious Labs Pty Ltd,New South Wales,,,Host: theSPACE,AI Powered Competitive and Market Intelligence,Bungalow,4870.0,,8/01/2019,NonQueensland,Far North Queensland,NonQueensland,75000.0
157,Hot DesQ,Round 2,Turbulent Australia Pty Ltd,Belgium,,,Host: Innovation Centre Sunshine Coast,Turbulent,Sippy Downs,4556.0,,27/07/2017,NonQueensland,Sunshine Coast,NonQueensland,75000.0
158,Hot DesQ,Round 2,WISRAN,United States,,,Host: Canvas Coworking Space (Toowoomba),WISRAN,Toowoomba City,4350.0,,27/07/2017,NonQueensland,Darling Downs,NonQueensland,75000.0
159,Hot DesQ,Round 2,Zentivo Pty Ltd,New South Wales,,,Host: Little Tokyo Two,Zentivo,Brisbane City,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,50000.0
160,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,8000.0
161,Hot DesQ,Round 3,Gold Coast Innovation Hub Limited,Robina,4226.0,,,Host,Robina,4226.0,,8/01/2019,Gold Coast (C),Gold Coast,Mudgeeraba,8000.0
162,Hot DesQ,Round 3,Hema Tilt Pty Ltd,France,,,Host: Fishburners,HigherEdMe,Brisbane City,4000.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,100000.0
163,Hot DesQ,Round 3,Eco Wave Power Australia Pty Ltd,Gibraltar,,,Host: River City Labs,Eco Wave Power,Fortitude Valley,4006.0,,8/01/2019,NonQueensland,Brisbane,NonQueensland,75000.0
164,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,8000.0
165,Hot DesQ,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,8/01/2019,Brisbane (C),Brisbane,McConnel,6000.0
166,Hot DesQ,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
167,Hot DesQ,Round 1,Timelooper,United States,,,"Host: Creative Enterprise Australia, QUT",Timelooper,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,37500.0
168,Hot DesQ,Round 1,Toured Adventures Pty Ltd,United States,,,Host: Spark Bureau,Toured,Maroochydore,4558.0,,10/10/2016,NonQueensland,Sunshine Coast,NonQueensland,75000.0
169,Hot DesQ,Round 1,Touriocity Australia Pty Ltd,United Kingdom,,,Host: River City Labs,Touriocity,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
170,Hot DesQ,Round 1,Suncayr Pty Ltd,Canada,,,Host: QUT Bluebox,Suncayr,Kelvin Grove,4059.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
171,Hot DesQ,Round 1,theSPACE Australasia Pty Ltd,Manunda,4870.0,,,Host,Cairns,4870.0,,14/03/2016,Cairns (R),Far North Queensland,Cairns,8000.0
172,Hot DesQ,Round 1,theSPACE Australasia Pty Ltd,Manunda,4870.0,,,Host,Cairns,4870.0,,14/03/2016,Cairns (R),Far North Queensland,Cairns,6000.0
173,Hot DesQ,Round 2,Scoodit Pty Ltd,Switzerland,,,Host: River City Labs,Scoodit,Fortitude Valley,4006.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,100000.0
174,Hot DesQ,Round 2,Ark Paradigm Pty Ltd,Chile,,,Host: Fishburners,Ark Paradigm,Brisbane City,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
175,Hot DesQ,Round 2,Aubot Pty Ltd,Victoria,,,Host: QUT Bluebox,Aubot,Brisbane City,4000.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,100000.0
176,Hot DesQ,Round 1,Trumbull Pty Ltd,United States,,,Host: Little Tokyo Two,Trumbull Expansion to Queensland,Brisbane City,4000.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
177,Hot DesQ,Round 1,Wazlo Australia Pty Ltd,United States,,,Host: Innovation Centre Sunshine Coast,Wazlo,Sippy Downs,4556.0,,10/10/2016,NonQueensland,Sunshine Coast,NonQueensland,100000.0
178,Hot DesQ,Round 2,Alfie Btc Pty Ltd (If No Reply),United Kingdom,,,Host: River City Labs,Alfie BTC,Fortitude Valley,4006.0,,27/07/2017,NonQueensland,Brisbane,NonQueensland,75000.0
179,Hot DesQ,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,10000.0
180,Hot DesQ,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,10000.0
181,Hot DesQ,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
182,Hot DesQ,Round 1,QUT Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
183,Hot DesQ,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
184,Hot DesQ,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,14/03/2016,Brisbane (C),Brisbane,McConnel,6000.0
185,Hot DesQ,Round 1,Skin Analytics Pty Ltd,United Kingdom,,,Host: Bond University,Melanoma Home Screening,Varsity Lakes,4227.0,,10/10/2016,NonQueensland,Gold Coast,NonQueensland,100000.0
186,Hot DesQ,Round 1,Spark Bureau Limited,Maroochydore,4558.0,,,Host,Maroochydore,4558.0,,14/03/2016,Sunshine Coast (R),Sunshine Coast,Maroochydore,6000.0
187,Hot DesQ,Round 1,Squareaway Technologies Pty Ltd,Victoria,,,Host: River City Labs,SquareAway,Fortitude Valley,4006.0,,10/10/2016,NonQueensland,Brisbane,NonQueensland,100000.0
